feature,p75_ES,p75_NQ,facteur,sens,seuil_partageable
low_bid_vol_pct,1.0,1.0,1.0,ES plus grand,True
mins_since_news,290.0,290.0,1.0,ES plus grand,True
mins_et,860.0,860.0,1.0,ES plus grand,True
ctx_side_flip_count_10,6.0,6.0,1.0,ES plus grand,True
finish_delta_pct,1.0,1.0,1.0,ES plus grand,True
ctx_excess_high_bars,12.0,12.0,1.0,ES plus grand,True
bar_duration_sec,60.0,60.0,1.0,ES plus grand,True
dist_big_bid_nearest_dn,-1.0,-1.0,1.0,ES plus grand,True
dist_big_ask_nearest_dn,-1.0,-1.0,1.0,ES plus grand,True
n_big_bid_t2,20.0,20.0,1.0,ES plus grand,True
n_big_ask_t2,20.0,20.0,1.0,ES plus grand,True
ctx_excess_low_bars,12.0,12.0,1.0,ES plus grand,True
news_minutes_until,2831.00416675,2831.00416675,1.0,ES plus grand,True
days_since_roll,73.0,73.0,1.0,ES plus grand,True
news_seconds_until,169860.25,169860.25,1.0,ES plus grand,True
n_big_ask_v2_t2,20.0,20.0,1.0,ES plus grand,True
rvol_regime,1.0,1.0,1.0,ES plus grand,True
dist_vix_put,0.87,0.87,1.0,ES plus grand,True
dist_vix_call_0dte,5.25,5.25,1.0,ES plus grand,True
dist_vix_put_0dte,0.82,0.82,1.0,ES plus grand,True
dist_vix_hvl_0dte,4.32,4.32,1.0,ES plus grand,True
dist_vix_gex_nearest_up,0.61,0.61,1.0,ES plus grand,True
dist_vix_gex_nearest_dn,-0.18,-0.18,1.0,ES plus grand,True
